Figure Number,Setting,Select Measure,Select Measure 2,Response category,Population,Value type,Reporting Period,Select Group,Value,Low 95% CI,High 95% CI,Reliability
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,Total,65.2,63.4,66.9,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Total,16.4,15.1,17.8,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,Total,7.6,6.7,8.6,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Total,10.8,9.8,12,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,61.8,57.7,65.8,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,19.0,16,22.5,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,6.6,4.8,8.9,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,12.6,10,15.7,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,62.9,58.7,67,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,19.0,15.9,22.6,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,9.6,7.2,12.6,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,8.5,6.5,11,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: South,69.0,66.2,71.7,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: South,13.9,12.1,16,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: South,6.3,5,8,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: South,10.7,9,12.7,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: West,64.0,60.7,67.1,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: West,16.4,14.1,19.1,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: West,8.5,6.8,10.6,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: West,11.0,9.1,13.3,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,64.8,62.9,66.7,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,16.2,14.8,17.7,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,7.5,6.5,8.6,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,11.5,10.3,12.8,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,67.5,63.3,71.4,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,18.0,15.1,21.2,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,7.9,5.8,10.8,
5,Adult Day Services Center,Non-essential consultant personnel,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,6.6,4.9,9,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,Total,143035.9,133147,152925,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: Northeast,19755.3,16607,22903,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: Midwest,42022.1,37412,46632,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: South,43412.3,37555,49270,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: West,37846.3,32161,43531,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,123144.2,113890,132399,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,19891.7,15687,24096,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,Total,33984.5,30726,37243,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: Northeast,5305.7,4209,6402,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: Midwest,8479.7,7288,9671,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: South,12631.5,10295,14968,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: West,7567.5,5975,9160,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,29641.5,26536,32747,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,4343.0,3185,5501,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,Total,24999.6,22649,27350,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: Northeast,3718.0,2950,4486,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: Midwest,6826.9,5712,7942,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: South,7705.9,6262,9150,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,US Census Region: West,6748.8,5482,8016,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,22256.9,19983,24531,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,2742.7,2038,3447,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Total,118828.3,112389,125268,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Northeast,13132.2,11535,14730,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Midwest,39914.2,36337,43492,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: South,34567.7,31055,38081,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: West,31214.2,27502,34926,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,101966.1,95624,108308,
1,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,16862.2,14644,19080,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,Total,3167.9,2611,3725,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Northeast,315.0,233,397,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Midwest,1053.7,588,1520,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: South,1001.2,777,1226,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: West,798.0,608,988,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2867.4,2321,3414,
1,Residential Care Community,COVID-19 Hospitalizations,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,300.5,184,417,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,Total,444.8,97,793,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Northeast,34.7,13,57,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: Midwest,216.9,-117,551,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: South,117.8,39,196,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,US Census Region: West,75.3,19,132,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,403.1,60,746,
1,Residential Care Community,COVID-19 Deaths,n/a,Number,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,41.7,-15,98,
2,Residential Care Community,COVID-19 Cases,n/a,Number,Residents,Number,January 2020-July 2021,Total,143035.9,133147,152925,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,Total,29540.3,25887,33193,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,Total,42508.7,36226,48792,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,Total,70986.9,63162,78812,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,Total,61545.1,54157,68934,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,Total,81217.4,73770,88664,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,Total,109163.3,99820,118507,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,Total,33614.0,28639,38589,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,Total,113881.1,104193,123569,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,Total,28795.4,24988,32603,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,Total,68442.8,60874,76012,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,Total,67010.1,59872,74148,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,US Census Region: Northeast,2666.6,941,4392,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,US Census Region: Northeast,6769.0,4246,9292,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,US Census Region: Northeast,10319.7,8587,12053,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,US Census Region: Midwest,10692.3,8770,12614,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,US Census Region: Midwest,12041.7,9428,14656,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,US Census Region: Midwest,19288.1,15526,23050,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,US Census Region: South,8387.7,6619,10156,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,US Census Region: South,13360.7,9107,17614,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,US Census Region: South,21664.0,17280,26048,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,US Census Region: West,7793.7,5911,9677,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,US Census Region: West,10337.4,7476,13198,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,US Census Region: West,19715.1,14731,24700,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,21997.8,18766,25230,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,34078.9,28710,39447,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,67067.5,59407,74728,
2,Residential Care Community,COVID-19 Cases,Size,Small,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,7542.5,5655,9430,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,8429.8,4982,11878,
2,Residential Care Community,COVID-19 Cases,Size,Large,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,3919.4,2144,5694,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,US Census Region: Northeast,7307.1,5824,8790,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,US Census Region: Northeast,12448.1,9541,15355,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,US Census Region: Midwest,23098.5,19766,26431,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,US Census Region: Midwest,18856.9,15302,22412,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,US Census Region: South,15854.8,11149,20561,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,US Census Region: South,27412.9,23382,31444,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,US Census Region: West,15284.7,10911,19659,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,US Census Region: West,22499.6,18243,26756,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,49464.8,42917,56012,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,73505.1,66172,80838,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: Midwest,18414.3,15601,21228,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,12080.3,8420,15741,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,7712.3,5626,9799,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,US Census Region: Northeast,14100.0,11259,16942,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,US Census Region: Northeast,5655.2,3553,7758,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,US Census Region: Midwest,31625.2,27266,35984,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,US Census Region: Midwest,10314.0,8161,12467,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,US Census Region: South,33346.1,28082,38611,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,US Census Region: South,9915.4,6600,13231,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,US Census Region: West,30091.9,24390,35793,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,US Census Region: West,7729.4,5560,9899,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,95277.9,86571,103985,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,27607.6,22941,32274,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,13885.4,10097,17674,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,6006.4,4150,7862,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,US Census Region: Northeast,15441.7,12330,18554,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,US Census Region: Northeast,4130.1,2877,5383,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,US Census Region: Midwest,29665.5,25468,33863,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,US Census Region: Midwest,12211.1,9675,14748,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,US Census Region: South,36052.3,30293,41811,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,US Census Region: South,7341.6,5406,9278,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,US Census Region: West,32721.7,26943,38500,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,US Census Region: West,5112.6,3455,6770,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,98473.5,89465,107482,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,24333.4,20670,27997,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,15407.6,11346,19469,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,4462.0,3311,5613,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,US Census Region: Northeast,8159.9,5753,10567,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,US Census Region: Northeast,10251.3,7641,12862,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,US Census Region: Midwest,22470.7,18640,26302,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,US Census Region: Midwest,17292.3,14111,20473,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,US Census Region: South,23054.4,17669,28439,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,US Census Region: South,19125.8,15951,22301,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,US Census Region: West,14757.9,11961,17555,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,US Census Region: West,20340.6,15448,25233,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,58455.9,51663,65248,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,57560.9,50716,64406,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,9987.0,6452,13522,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Residents,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,9449.1,7144,11754,
2,Residential Care Community,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Total,118828.3,112389,125268,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,Total,27589.2,24737,30442,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,Total,34713.9,30529,38899,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,Total,56525.3,51435,61615,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,Total,48519.3,43892,53147,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,Total,70095.9,64721,75471,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,Total,88949.3,82881,95018,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,Total,29502.9,25874,33132,
2,Residential Care Community,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,Total,85806.2,79899,91713,
2,Residential Care Community,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,Total,32841.3,28757,36926,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,Total,54577.7,50029,59126,
2,Residential Care Community,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,Total,57124.0,51764,62484,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: Northeast,1883.1,1113,2653,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: Northeast,4606.4,3181,6032,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: Northeast,6642.6,5730,7555,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: Midwest,12193.4,10152,14235,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: Midwest,11436.3,9142,13730,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: Midwest,16284.5,13630,18939,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: South,6769.4,5487,8052,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: South,11093.3,8438,13748,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: South,16705.0,14143,19268,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: West,6743.2,5427,8060,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: West,7577.9,5796,9359,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: West,16893.1,13508,20278,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,20122.1,17423,22822,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,28610.2,24662,32559,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,53233.8,48210,58258,
2,Residential Care Community,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,7467.0,6302,8632,
2,Residential Care Community,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,6103.7,4448,7759,
2,Residential Care Community,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,3291.5,2277,4306,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: Northeast,4632.1,3965,5299,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: Northeast,8496.7,6961,10033,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: Midwest,21384.6,18583,24186,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: South,10827.4,8258,13397,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: South,23705.5,20864,26547,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: West,11675.2,9122,14228,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: West,19479.4,16233,22726,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,37940.4,33615,42265,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,63908.3,58523,69294,
2,Residential Care Community,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,10578.9,8625,12533,
2,Residential Care Community,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,6187.6,5084,7291,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: Northeast,9279.5,7720,10839,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: Northeast,3852.7,2871,4834,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: Midwest,29483.3,26182,32785,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: Midwest,10294.3,8273,12316,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: South,26238.2,23107,29369,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: South,8113.7,5992,10236,
2,Residential Care Community,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: West,23948.4,20248,27648,
2,Residential Care Community,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: West,7242.3,5340,9144,
